0.000000000000000000e+00 5.952380952380952051e-02
4.679155326901725254e-03 1.785714285714285476e-01
4.482138260505863503e-02 2.976190476190476164e-01
6.081637288397402363e-01 4.166666666666666297e-01
1.143708293837781831e-01 5.357142857142856984e-01
4.279627448989344884e-01 6.547619047619047672e-01
2.451140516441873807e+00 7.738095238095237249e-01
3.899093065480840004e+00 8.928571428571427937e-01
5.124278844935050259e+00 1.011904761904761862e+00
3.461901557930342044e+00 1.130952380952380931e+00
4.833256451429078560e+00 1.250000000000000000e+00
3.776950533933597143e+00 1.369047619047619069e+00
4.401059856577506757e+00 1.488095238095237915e+00
3.882167716934436186e+00 1.607142857142856984e+00
4.708127529535959255e+00 1.726190476190476053e+00
4.495259979685238605e+00 1.845238095238095122e+00
4.578957257814642468e+00 1.964285714285714191e+00
4.887451566753242105e+00 2.083333333333333037e+00
5.095604707135537481e+00 2.202380952380952106e+00
5.371699021757576631e+00 2.321428571428571175e+00
